GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache Commons BSF (Bean Scripting Framework),org.apache.bsf.engines.xslt,XSLTEngine,234,0,14,0,46,0,14,0,7,0
Apache Commons BSF (Bean Scripting Framework),org.apache.bsf.engines.xslt,XSLTResultNode,3,6,0,0,1,3,1,1,1,1
Apache Commons BSF (Bean Scripting Framework),org.apache.bsf.util.event,EventAdapterRegistry,35,76,10,8,13,24,9,6,1,5
Apache Commons BSF (Bean Scripting Framework),org.apache.bsf.util.event,EventAdapterImpl,0,7,0,0,0,3,0,2,0,2
Apache Commons BSF (Bean Scripting Framework),org.apache.bsf.util,ObjInfo,49,55,14,8,9,15,11,4,1,3
Apache Commons BSF (Bean Scripting Framework),org.apache.bsf.util,ReflectionUtils,576,231,65,19,113,48,40,12,2,8
Apache Commons BSF (Bean Scripting Framework),org.apache.bsf.util,JavaUtils,25,68,2,2,9,10,3,2,1,2
Apache Commons BSF (Bean Scripting Framework),org.apache.bsf.util,BSFEventProcessor,78,24,10,0,21,9,8,1,3,1
Apache Commons BSF (Bean Scripting Framework),org.apache.bsf.util,BSFEngineImpl,197,140,16,2,30,30,15,6,6,6
Apache Commons BSF (Bean Scripting Framework),org.apache.bsf.util,StringUtils,229,431,27,70,51,101,25,45,2,14
Apache Commons BSF (Bean Scripting Framework),org.apache.bsf.util,ScriptSymbolTable,22,0,4,0,7,0,4,0,2,0
Apache Commons BSF (Bean Scripting Framework),org.apache.bsf.util,BSFEventProcessorReturningEventInfos,132,27,10,0,32,10,8,1,3,1
Apache Commons BSF (Bean Scripting Framework),org.apache.bsf.util,IndentWriter,26,18,0,0,8,4,4,2,4,2
Apache Commons BSF (Bean Scripting Framework),org.apache.bsf.util,BSFClassLoader,110,0,4,0,28,0,6,0,4,0
Apache Commons BSF (Bean Scripting Framework),org.apache.bsf.util,MethodUtils,241,266,67,41,31,56,46,21,3,10
Apache Commons BSF (Bean Scripting Framework),org.apache.bsf.util,ReflectionUtils.new Comparator() {...},19,0,0,0,3,0,3,0,3,0
Apache Commons BSF (Bean Scripting Framework),org.apache.bsf.util,ReflectionUtils.new Comparator() {...},19,0,0,0,3,0,3,0,3,0
Apache Commons BSF (Bean Scripting Framework),org.apache.bsf.util,CodeBuffer,264,727,37,31,42,136,39,44,9,40
Apache Commons BSF (Bean Scripting Framework),org.apache.bsf.util,ObjectRegistry,5,66,1,5,1,16,1,7,0,5
Apache Commons BSF (Bean Scripting Framework),org.apache.bsf.util,IOUtils,0,34,0,2,0,9,0,4,0,3
Apache Commons BSF (Bean Scripting Framework),org.apache.bsf.util,BSFFunctions,24,14,0,0,6,5,3,2,3,2
Apache Commons BSF (Bean Scripting Framework),org.apache.bsf.util,Bean,0,9,0,0,0,4,0,1,0,1
Apache Commons BSF (Bean Scripting Framework),org.apache.bsf.util,EngineUtils,208,388,50,36,57,95,36,20,1,12
Apache Commons BSF (Bean Scripting Framework),org.apache.bsf.util,MethodUtils.MoreSpecific,87,21,14,4,22,7,8,3,0,2
Apache Commons BSF (Bean Scripting Framework),org.apache.bsf.util.type,TypeConvertorRegistry,18,265,3,5,4,51,5,4,2,3
Apache Commons BSF (Bean Scripting Framework),org.apache.bsf.util.type,TypeConvertorRegistry.new TypeConvertor() {...},2,10,0,0,1,2,1,2,1,2
Apache Commons BSF (Bean Scripting Framework),org.apache.bsf.util.type,TypeConvertorRegistry.new TypeConvertor() {...},45,42,22,10,12,8,17,2,1,2
Apache Commons BSF (Bean Scripting Framework),org.apache.bsf.util.type,TypeConvertorRegistry.new TypeConvertor() {...},2,10,0,0,1,2,1,2,1,2
Apache Commons BSF (Bean Scripting Framework),org.apache.bsf.util.type,TypeConvertorRegistry.new TypeConvertor() {...},4,11,1,1,1,2,2,2,1,2
Apache Commons BSF (Bean Scripting Framework),org.apache.bsf.util.type,TypeConvertorRegistry.new TypeConvertor() {...},2,8,0,0,1,2,1,2,1,2
Apache Commons BSF (Bean Scripting Framework),org.apache.bsf.engines.javascript,JavaScriptEngine,64,227,17,17,16,54,14,10,0,7
Apache Commons BSF (Bean Scripting Framework),org.apache.bsf.engines.javaclass,JavaClassEngine,85,0,10,0,12,0,8,0,3,0
